rainfall,soil_moisture,slope,elevation,temperature,risk
58.01,22.34,25.97,854.32,24.22,MEDIUM
123.3,54.34,24.21,1213.13,23.13,MEDIUM
22.67,9.8,57.14,808.06,22.32,MEDIUM
5.67,28.47,2.0,1609.49,18.65,LOW
117.39,31.45,22.95,784.25,30.29,MEDIUM
81.71,37.08,27.95,750.17,22.5,MEDIUM
164.6,56.41,17.85,778.17,28.95,HIGH
38.02,32.24,39.7,297.01,26.27,MEDIUM
65.96,38.55,38.57,414.57,27.05,MEDIUM
75.82,17.46,27.38,627.12,27.98,LOW
44.33,37.34,24.48,1327.05,21.11,LOW
34.09,14.08,26.54,836.09,27.05,LOW
121.37,40.27,26.64,646.45,19.54,LOW
20.65,24.15,26.98,1365.14,24.26,MEDIUM
29.46,28.05,25.56,1501.49,14.34,LOW
64.34,32.0,31.28,1377.26,22.08,MEDIUM
130.87,29.66,37.79,491.7,29.52,MEDIUM
46.67,10.62,12.01,642.0,28.1,LOW
42.1,34.33,14.34,1611.77,17.59,MEDIUM
61.55,29.89,5.27,951.28,20.98,MEDIUM
91.43,45.27,39.26,737.6,23.48,HIGH
54.58,26.24,31.25,1151.71,24.41,LOW
142.02,25.27,34.57,1273.07,16.77,MEDIUM
145.96,51.98,9.42,609.99,26.21,MEDIUM
64.34,24.22,51.2,942.16,25.76,MEDIUM
228.09,58.26,20.08,1239.16,22.52,MEDIUM
74.6,22.81,30.19,362.68,29.05,LOW
142.77,58.93,39.11,855.19,25.87,HIGH
89.67,22.7,15.17,381.96,25.55,LOW
88.51,28.45,20.9,436.9,20.84,LOW
16.27,21.79,30.33,613.5,26.67,LOW
27.3,10.35,65.0,1050.39,21.22,MEDIUM
56.77,30.72,31.91,714.75,23.93,MEDIUM
145.24,58.97,48.88,577.66,27.93,MEDIUM
90.56,27.09,43.67,871.65,29.61,HIGH
57.17,31.49,32.78,368.28,27.22,LOW
108.18,5.07,15.14,1030.1,26.14,LOW
141.74,40.25,41.78,1325.18,18.41,HIGH
71.26,25.96,8.52,816.73,26.11,LOW
83.16,22.3,48.81,764.89,25.37,MEDIUM
75.79,42.02,30.6,1006.84,28.4,MEDIUM
68.03,25.3,2.0,50.0,27.05,LOW
37.67,22.08,23.57,1075.46,23.39,LOW
35.27,19.49,36.5,2152.79,22.7,MEDIUM
107.72,14.15,24.92,798.48,25.11,LOW
143.52,28.51,37.3,799.97,21.85,HIGH
57.09,37.71,16.95,1162.31,31.93,LOW
56.08,5.0,11.02,1541.04,18.61,LOW
12.01,11.49,27.07,1259.49,23.13,LOW
9.65,15.15,28.41,50.0,29.88,LOW
167.92,64.05,23.47,1086.63,24.97,MEDIUM
39.75,32.82,43.95,1930.21,19.71,LOW
285.41,57.54,16.95,1111.43,23.41,HIGH
45.67,39.66,32.07,365.07,26.61,LOW
16.84,12.55,28.88,968.37,21.07,MEDIUM
76.22,41.3,7.76,312.11,34.48,LOW
120.42,22.32,10.85,1367.78,22.14,MEDIUM
111.6,47.66,28.15,448.53,28.89,MEDIUM
128.5,34.09,53.76,881.18,23.96,HIGH
31.55,11.73,35.53,489.73,25.66,LOW
165.34,42.07,5.57,620.49,24.75,MEDIUM
171.63,48.51,2.0,1474.18,17.41,MEDIUM
176.47,40.79,37.53,893.45,24.47,MEDIUM
85.2,37.73,26.75,615.13,24.93,LOW
53.76,20.19,42.84,369.0,31.09,LOW
50.1,32.84,16.55,63.89,24.88,LOW
16.74,25.54,32.55,324.46,25.69,LOW
46.48,24.77,39.0,897.02,22.09,MEDIUM
5.1,13.96,22.18,1261.7,27.94,LOW
14.46,21.98,22.46,614.65,23.45,LOW
84.58,37.59,28.33,1509.63,24.01,MEDIUM
58.57,50.05,35.05,548.65,29.64,LOW
82.03,41.46,27.81,750.04,25.16,MEDIUM
114.32,47.03,40.66,396.58,22.81,MEDIUM
92.86,66.83,21.99,1266.12,18.94,MEDIUM
87.46,37.67,10.73,1730.95,23.96,MEDIUM
66.51,33.97,53.7,110.04,24.47,MEDIUM
38.56,31.91,20.14,704.61,27.08,LOW
23.95,10.73,20.61,1381.21,23.15,LOW
47.46,20.71,27.14,242.28,29.12,LOW
67.33,23.2,28.87,1088.01,25.61,MEDIUM
73.62,36.9,22.97,1363.02,19.88,LOW
128.68,36.67,27.77,882.86,21.91,MEDIUM
62.96,29.59,27.48,1081.11,26.42,LOW
103.39,46.5,30.27,1589.58,19.83,MEDIUM
19.18,30.56,2.0,1668.34,12.69,LOW
85.43,29.89,52.45,823.97,27.37,MEDIUM
81.25,23.63,26.09,626.4,22.87,LOW
165.38,56.95,35.55,463.61,28.41,HIGH
58.61,35.89,10.08,1260.32,27.79,LOW
56.75,9.41,21.88,273.85,27.82,LOW
114.86,32.93,19.26,743.92,28.84,LOW
25.7,23.93,47.11,893.13,25.47,LOW
83.87,39.99,20.38,638.74,31.21,LOW
24.52,31.93,37.86,967.52,21.25,MEDIUM
213.73,55.32,19.54,1927.1,20.3,HIGH
51.12,32.62,22.12,798.93,27.56,MEDIUM
23.04,22.39,24.81,667.13,25.39,LOW
47.19,18.14,44.69,1276.44,26.94,LOW
84.23,28.6,3.43,950.63,23.34,LOW
101.2,34.4,10.9,1454.52,29.08,LOW
159.81,43.19,2.69,919.17,31.65,MEDIUM
42.75,5.0,13.86,745.66,26.55,LOW
118.37,32.57,17.45,100.84,30.31,LOW
14.48,20.93,7.01,169.71,32.05,LOW
29.65,19.65,18.46,79.01,24.85,LOW
19.72,18.44,2.0,1009.32,20.26,LOW
36.76,29.25,14.77,277.86,31.77,LOW
114.82,24.5,43.61,1377.34,23.68,MEDIUM
43.59,7.07,33.25,862.7,24.39,LOW
50.43,22.24,30.44,747.44,25.67,LOW
85.83,40.14,14.96,495.58,19.13,MEDIUM
98.31,52.29,8.03,1111.35,23.39,MEDIUM
51.64,34.87,13.19,512.11,24.29,LOW
29.46,6.56,27.44,436.14,29.98,LOW
191.75,46.12,39.29,1349.11,26.11,HIGH
51.9,29.13,39.73,998.94,26.35,LOW
56.0,28.91,36.2,751.33,26.88,MEDIUM
61.52,33.78,18.41,1119.4,19.17,LOW
105.48,24.79,28.32,853.75,27.05,MEDIUM
18.2,21.63,23.82,1010.87,26.47,MEDIUM
239.79,60.99,25.38,506.92,30.7,HIGH
54.82,35.85,54.48,1719.57,28.04,MEDIUM
107.91,26.4,5.09,606.56,20.85,LOW
23.3,17.93,24.95,1503.53,20.99,LOW
79.82,5.0,43.75,770.68,23.16,LOW
216.62,45.82,8.94,1188.98,24.2,MEDIUM
197.54,43.84,19.63,1158.37,23.83,MEDIUM
106.0,23.74,21.12,1331.68,22.26,MEDIUM
34.7,25.37,25.1,496.94,30.05,LOW
154.34,42.08,7.25,1301.77,19.62,MEDIUM
14.36,5.0,35.74,1625.5,18.35,LOW
33.64,25.75,36.66,741.35,22.39,MEDIUM
66.78,18.47,34.61,864.58,23.96,LOW
15.77,25.87,16.69,630.15,22.23,LOW
47.11,11.44,29.12,704.5,25.67,LOW
119.98,37.53,16.31,1568.8,21.41,MEDIUM
39.95,21.28,23.68,428.22,24.56,MEDIUM
123.78,41.14,56.0,454.31,29.75,MEDIUM
280.47,64.25,29.24,1526.58,21.94,CRITICAL
93.03,30.08,12.56,1112.31,27.4,MEDIUM
122.35,20.68,30.34,1740.56,20.54,MEDIUM
157.79,27.0,10.43,660.82,25.95,MEDIUM
50.64,19.68,12.41,903.04,23.14,LOW
120.42,37.18,14.47,572.52,26.4,MEDIUM
49.68,19.26,22.22,910.19,27.18,LOW
88.52,39.04,40.18,104.88,27.21,MEDIUM
132.73,36.17,35.52,1137.68,25.54,MEDIUM
36.09,13.16,34.8,985.86,21.96,MEDIUM
5.79,15.87,13.71,825.83,27.71,LOW
33.24,25.8,20.96,686.05,24.06,LOW
145.83,44.91,31.54,474.2,29.59,MEDIUM
29.75,43.42,19.83,1155.64,23.99,LOW
140.54,33.13,24.38,358.14,32.26,MEDIUM
33.38,22.53,33.74,1065.0,20.51,MEDIUM
60.04,32.29,23.47,1721.27,16.53,MEDIUM
70.23,28.98,30.94,1473.92,20.4,MEDIUM
29.62,17.23,48.71,217.85,23.59,LOW
60.55,10.65,25.77,624.57,21.76,LOW
16.79,15.07,43.33,1027.01,26.37,LOW
54.23,14.87,35.27,820.48,25.29,LOW
66.06,9.58,8.93,262.25,26.28,MEDIUM
6.19,10.24,13.67,1011.83,23.21,LOW
33.0,11.76,17.16,845.79,23.28,LOW
86.64,38.28,16.89,1654.02,26.84,LOW
26.68,28.88,26.83,743.64,23.3,LOW
96.82,23.55,35.99,1340.56,18.74,HIGH
103.41,31.68,44.32,317.82,30.12,MEDIUM
86.38,11.38,32.01,418.24,26.43,LOW
119.46,31.68,22.21,1153.1,30.34,MEDIUM
15.69,24.9,2.0,1305.17,21.44,LOW
136.69,48.94,28.92,447.9,29.69,MEDIUM
30.04,14.96,28.34,860.11,28.59,LOW
76.2,41.76,30.38,269.74,26.12,MEDIUM
211.17,35.12,55.38,773.89,23.14,HIGH
53.33,12.81,44.13,1201.51,25.97,LOW
71.53,37.25,38.21,667.32,27.84,MEDIUM
30.21,41.22,15.49,745.41,21.13,LOW
209.84,57.0,21.33,375.49,23.7,HIGH
33.06,22.85,26.77,577.69,18.28,LOW
109.59,11.39,17.92,1588.41,23.76,LOW
157.6,20.97,34.51,880.63,24.2,MEDIUM
116.71,38.1,32.64,429.03,26.55,MEDIUM
90.14,28.48,13.85,717.8,20.36,LOW
75.36,17.89,43.56,179.08,24.68,MEDIUM
23.08,22.41,29.33,424.05,25.56,LOW
203.89,51.89,5.52,1421.34,20.45,MEDIUM
85.03,41.99,27.33,790.16,25.82,MEDIUM
71.56,30.95,31.66,1644.11,23.47,MEDIUM
27.96,35.99,40.65,809.95,32.62,MEDIUM
74.11,29.95,23.61,834.89,25.18,LOW
68.31,27.66,38.76,1119.18,27.53,MEDIUM
211.17,63.49,30.43,50.0,26.12,HIGH
71.53,18.68,10.9,936.07,19.43,LOW
73.25,60.68,9.6,829.43,24.14,LOW
28.27,26.65,42.59,1474.14,17.25,MEDIUM
38.82,28.4,43.55,1255.17,23.4,LOW
100.92,39.92,32.2,373.85,24.82,MEDIUM
12.73,40.69,47.44,1371.7,16.57,LOW
136.2,48.51,41.74,739.83,31.23,MEDIUM
138.63,22.53,36.89,470.13,25.16,MEDIUM
35.48,39.12,16.15,932.78,19.56,LOW
90.37,28.71,50.51,764.84,28.43,MEDIUM
160.96,44.93,34.97,1496.16,19.94,MEDIUM
64.29,14.21,22.98,993.06,28.02,LOW
55.62,32.69,19.31,936.38,22.44,LOW
60.95,20.59,31.34,1228.27,21.74,LOW
84.89,32.68,6.28,1309.01,24.21,LOW
43.07,21.77,37.1,1179.11,25.59,MEDIUM
52.04,47.5,15.6,1446.17,24.95,MEDIUM
86.08,53.58,32.82,1105.65,23.74,MEDIUM
48.77,26.31,21.22,920.41,26.55,LOW
26.09,22.88,24.56,1370.45,25.22,LOW
11.53,15.74,18.16,811.82,25.99,LOW
72.55,41.77,25.9,863.96,24.66,MEDIUM
154.49,39.1,52.56,1573.06,17.3,HIGH
93.54,28.33,46.01,1531.21,24.03,MEDIUM
27.01,33.09,32.61,846.57,25.33,LOW
38.59,18.25,27.67,659.51,24.71,LOW
55.31,26.43,38.97,1464.53,26.5,LOW
215.48,35.08,42.69,1186.18,19.09,HIGH
222.93,61.42,17.21,982.54,29.84,HIGH
206.49,72.39,26.99,714.81,25.71,CRITICAL
77.96,38.41,4.31,989.31,25.56,MEDIUM
320.0,85.28,42.6,840.88,23.95,CRITICAL
40.19,15.12,54.85,570.98,21.1,MEDIUM
53.76,29.2,29.04,904.2,24.48,LOW
129.34,28.32,2.0,961.48,25.74,MEDIUM
86.4,29.32,35.92,692.33,28.05,MEDIUM
89.88,40.88,16.25,1229.61,22.83,MEDIUM
31.19,24.11,19.38,1391.31,15.72,LOW
67.94,13.33,36.15,1257.36,18.41,MEDIUM
40.68,10.04,31.31,733.98,32.26,LOW
21.58,6.26,21.65,1167.45,20.25,MEDIUM
44.69,30.56,19.56,882.74,29.59,LOW
86.42,54.53,29.64,330.99,24.52,HIGH
115.57,51.48,22.68,1132.55,23.32,MEDIUM
11.07,5.0,13.58,911.38,26.9,LOW
70.3,44.88,23.68,1939.29,17.65,MEDIUM
65.7,38.81,32.41,1462.05,27.52,LOW
83.3,14.33,25.68,1148.68,24.07,MEDIUM
27.47,19.06,9.62,954.65,26.18,LOW
27.97,34.53,40.86,918.76,24.01,MEDIUM
157.19,49.2,2.0,428.45,29.18,MEDIUM
35.88,9.34,22.2,119.63,33.51,LOW
51.77,33.0,19.94,483.53,26.4,LOW
55.95,5.0,29.93,829.96,30.8,LOW
41.31,22.16,35.3,50.0,26.82,LOW
98.81,46.33,42.65,621.38,28.65,HIGH
93.15,33.11,18.74,746.0,27.21,MEDIUM
63.55,22.68,35.63,759.52,22.16,LOW
43.29,34.71,30.55,572.08,27.11,LOW
59.86,38.3,5.75,706.56,25.84,LOW
74.63,44.35,52.71,1574.04,19.19,MEDIUM
38.62,33.8,9.3,1128.1,25.07,LOW
103.86,46.51,33.45,614.67,26.7,MEDIUM
135.54,47.75,33.07,821.29,25.07,MEDIUM
174.69,48.87,31.58,838.11,25.01,MEDIUM
167.88,45.84,21.57,527.46,26.34,MEDIUM
55.68,24.3,38.75,526.97,25.45,LOW
77.31,17.03,7.72,1274.42,23.71,LOW
62.65,17.52,27.14,673.69,23.91,LOW
62.48,24.89,20.67,390.23,35.75,LOW
59.54,30.18,19.2,831.88,20.75,LOW
71.25,45.25,33.57,899.56,23.08,LOW
150.26,41.58,42.01,50.0,27.16,HIGH
88.25,43.16,23.54,832.89,31.78,MEDIUM
26.39,34.09,38.15,1214.55,19.31,MEDIUM
131.81,36.54,28.65,1039.52,25.69,MEDIUM
82.5,37.74,16.39,1786.51,21.76,LOW
99.59,31.25,24.65,1375.47,23.88,LOW
87.04,46.47,24.11,1458.55,26.39,MEDIUM
89.84,39.37,18.94,2026.04,23.77,LOW
92.73,19.74,33.57,1168.43,22.3,MEDIUM
13.81,21.99,31.05,918.49,25.49,LOW
98.73,51.93,7.32,1258.97,17.37,MEDIUM
40.01,22.41,6.53,615.12,26.55,LOW
48.65,30.71,33.52,895.23,22.43,MEDIUM
70.83,35.34,17.4,577.95,25.8,LOW
192.35,37.37,31.93,1017.15,19.03,HIGH
30.58,28.51,38.15,576.2,27.7,MEDIUM
69.1,13.72,11.48,561.49,21.04,LOW
58.46,20.47,9.65,1023.66,24.87,MEDIUM
130.56,50.72,49.77,792.16,21.51,HIGH
57.24,31.08,32.57,50.0,26.06,LOW
83.16,27.96,22.55,238.67,31.62,LOW
30.66,27.82,15.86,368.15,29.22,LOW
145.13,40.56,21.36,479.15,30.52,MEDIUM
19.87,21.32,12.52,1024.06,29.38,LOW
97.81,40.88,39.48,941.95,22.29,MEDIUM
83.53,23.36,17.9,1297.42,27.96,LOW
92.2,33.2,42.22,1166.18,19.06,MEDIUM
20.15,17.79,22.79,1300.2,25.54,LOW
56.35,9.57,14.44,1105.53,22.45,LOW
126.41,28.1,22.46,938.07,21.8,MEDIUM
210.83,68.98,2.0,1311.73,25.06,HIGH
65.39,32.69,26.43,1236.15,26.46,MEDIUM
118.66,22.43,25.79,1007.96,27.39,MEDIUM
77.94,13.53,38.72,1383.85,23.46,MEDIUM
67.9,27.63,3.48,50.0,29.2,LOW
51.52,43.42,43.1,728.01,27.41,MEDIUM
71.09,27.32,38.67,721.57,26.72,LOW
111.72,50.25,44.28,1334.13,24.73,MEDIUM
117.89,40.73,27.31,1509.99,22.86,LOW
24.2,27.06,41.18,240.92,30.61,LOW
47.98,10.98,8.87,1442.69,17.3,MEDIUM
29.33,33.01,37.27,357.99,26.97,LOW
73.68,26.1,17.97,370.69,22.9,MEDIUM
54.84,36.27,6.53,751.6,26.5,MEDIUM
90.08,23.46,13.39,716.35,31.03,LOW
94.41,35.05,28.07,195.46,26.6,LOW
7.27,23.04,17.28,1122.95,24.35,LOW
70.69,27.62,32.89,1135.35,26.31,MEDIUM
152.18,46.8,4.49,1292.7,16.57,MEDIUM
48.0,22.75,2.0,667.95,24.32,LOW
46.9,18.36,45.84,833.38,26.42,MEDIUM
135.44,57.33,39.75,837.22,15.96,HIGH
121.52,48.98,14.36,1558.96,18.86,LOW
32.01,14.75,27.96,50.0,32.3,LOW
113.73,42.45,41.25,448.08,30.19,MEDIUM
38.26,15.95,33.45,852.33,26.36,LOW
46.52,12.41,29.93,394.06,30.05,MEDIUM
31.99,34.49,42.24,741.51,26.35,HIGH
24.02,5.0,18.5,797.05,27.19,LOW
76.78,40.48,28.41,573.77,25.41,MEDIUM
20.76,18.54,27.77,877.08,25.42,LOW
79.0,28.31,24.45,1113.82,21.96,LOW
77.26,34.87,22.93,750.77,29.66,LOW
63.25,34.51,28.95,659.66,30.9,LOW
49.78,16.87,28.45,780.38,29.9,LOW
42.46,32.69,14.37,846.88,23.88,LOW
28.57,23.82,38.42,119.07,25.41,LOW
175.52,32.27,15.31,1043.85,28.39,HIGH
61.19,25.92,25.16,660.58,27.77,LOW
59.68,42.74,24.16,1379.84,23.84,LOW
33.31,41.77,32.66,1098.24,22.03,MEDIUM
163.82,52.1,2.0,1341.43,24.33,LOW
44.63,12.05,39.58,425.38,23.61,LOW
